@relation InstanceResultListener

@attribute Key_Dataset {weather.symbolic}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.yby.NB_yby_featureWeight,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {-6923762124666083281,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

weather.symbolic,1,1,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,1,1,0,50,50,0,0,0.550584,0.666646,110.116822,128.199173,2.122857,4.042138,-1.919281,1.061428,2.021069,-0.95964,-0.166827,-0.083413,-7.858594,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0,0.5,?,0.5,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,1,2,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,1,1,0,50,50,0,0,0.414323,0.470034,82.864618,90.389727,2.122857,1.767342,0.355515,1.061428,0.883671,0.177757,0.355515,0.177757,16.746991,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,1,1,0.5,0.5,0.5,0.5,?,0.5,?,?,1,1,?,0.5,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,1,3,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,1,1,0,50,50,0,0,0.469128,0.504908,93.825654,97.096262,2.122857,2.01757,0.105287,1.061428,1.008785,0.052643,0.129808,0.064904,6.114778,0,0,0,0,1,1,1,1,?,0,?,?,1,1,0.5,0.5,0.5,0.5,?,0.5,?,?,1,1,?,0.5,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,1,4,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,1,1,0,50,50,0,0,0.518977,0.522485,103.79549,100.476429,2.122857,2.134608,-0.011751,1.061428,1.067304,-0.005875,-0.124651,-0.062326,-5.871866,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,0,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0,0.5,?,0.5,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,1,5,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,0,1,0,0,100,0,0,0.515273,0.515273,77.290936,77.290936,1.584963,1.044755,0.540207,1.584963,1.044755,0.540207,0.540207,0.540207,34.083275,?,0,1,1,0,0,?,0,0,?,?,?,?,?,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,1,6,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,0,1,0,0,100,0,0,0.631656,0.631656,157.91397,157.91397,0.736966,1.440874,-0.703908,0.736966,1.440874,-0.703908,-0.659139,-0.659139,-89.439562,0,0,?,0,?,0,1,1,?,0,?,?,?,1,0,?,?,1,?,0,?,?,?,1,?,0,0.001,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,1,7,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.160044,0.160044,40.011111,40.011111,0.736966,0.251615,0.48535,0.736966,0.251615,0.48535,0.48535,0.48535,65.857959,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.001,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,1,8,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.445626,0.445626,111.406558,111.406558,0.736966,0.851069,-0.114104,0.736966,0.851069,-0.114104,-0.155834,-0.155834,-21.145379,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,1,9,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.243304,0.243304,60.826028,60.826028,0.736966,0.402214,0.334751,0.736966,0.402214,0.334751,0.334751,0.334751,45.422895,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,1,10,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.222279,0.222279,55.569843,55.569843,0.736966,0.362676,0.37429,0.736966,0.362676,0.37429,0.37429,0.37429,50.787921,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,2,1,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,0,2,0,0,100,0,-1,0.739923,0.765536,147.98463,147.216148,2.122857,5.10375,-2.980893,1.061428,2.551875,-1.490447,-1.14839,-0.574195,-54.09644,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,2,2,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,2,0,0,100,0,0,1,0.368972,0.375837,73.794481,72.275314,2.122857,1.347095,0.775762,1.061428,0.673547,0.387881,0.775762,0.387881,36.543296,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,2,3,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,2,0,0,100,0,0,1,0.228582,0.234842,45.716436,45.161309,2.122857,0.755882,1.366975,1.061428,0.377941,0.683487,1.366975,0.683487,64.393181,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,2,4,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,1,1,0,50,50,0,0,0.400055,0.478778,80.010943,92.071267,2.122857,1.782149,0.340707,1.061428,0.891075,0.170354,0.380126,0.190063,17.906361,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,1,1,0.5,0.5,0.5,0.5,?,0.5,?,?,1,1,?,0.5,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,2,5,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,0,1,0,0,100,0,0,0.574443,0.574443,86.166471,86.166471,1.584963,1.232576,0.352386,1.584963,1.232576,0.352386,0.352386,0.352386,22.233101,?,0,1,1,0,0,?,0,0,?,?,?,?,?,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,2,6,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.445626,0.445626,111.406558,111.406558,0.736966,0.851069,-0.114104,0.736966,0.851069,-0.114104,-0.155834,-0.155834,-21.145379,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,2,7,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,0,1,0,0,100,0,0,0.616517,0.616517,154.129132,154.129132,0.736966,1.382764,-0.645798,0.736966,1.382764,-0.645798,-0.62414,-0.62414,-84.690463,0,0,?,0,?,0,1,1,?,0,?,?,?,1,0,?,?,1,?,0,?,?,?,1,?,0,0.001,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,2,8,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.222279,0.222279,55.569843,55.569843,0.736966,0.362676,0.37429,0.736966,0.362676,0.37429,0.37429,0.37429,50.787921,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.001,0,0,0,0,0,763,2578,1750,100,100,?
